,I-Count,Label(m0/f1)
1766,4,0
1767,9,0
1768,5,0
1769,5,1
1770,7,0
1771,8,1
1772,1,0
1773,10,0
1774,9,0
1775,0,1
1776,0,0
1777,2,0
1778,3,0
1779,8,1
1780,3,0
1781,1,1
1782,8,0
1783,10,1
1784,9,1
1785,17,1
1786,0,0
1787,4,0
1788,5,1
1789,0,0
1790,6,0
1791,1,1
1792,45,0
1793,0,1
1794,0,0
1795,10,0
1796,4,1
1797,2,0
1798,55,0
1799,0,1
1800,1,0
1801,1,0
1802,0,0
1803,2,0
1804,1,1
1805,3,0
1806,16,0
1807,6,0
1808,1,0
1809,42,1
1810,1,0
1811,4,0
1812,0,0
1813,1,0
1814,15,1
1815,2,0
1816,14,0
1817,22,1
1818,3,1
1819,1,0
1820,0,0
1821,1,1
1822,8,0
1823,3,0
1824,4,0
1825,2,0
1826,2,1
1827,7,0
1828,3,0
1829,0,0
1830,6,1
1831,73,0
1832,18,1
1833,3,0
1834,12,0
1835,1,0
1836,0,0
1837,2,1
1838,0,0
1839,3,0
1840,1,0
1841,3,0
1842,3,0
1843,1,0
1844,0,1
1845,2,0
1846,0,1
1847,51,1
1848,0,1
1849,9,1
1850,0,0
1851,7,0
1852,0,0
1853,4,0
1854,9,0
1855,5,1
1856,18,0
1857,0,0
1858,1,0
1859,21,0
1860,13,0
1861,15,0
1862,0,1
1863,5,0
1864,1,0
1865,2,0
1866,0,0
1867,19,0
1868,4,0
1869,0,0
1870,0,0
1871,2,1
1872,0,0
1873,2,0
1874,11,0
1875,0,1
1876,0,0
1877,3,0
1878,0,0
1879,0,0
1880,9,0
1881,13,1
1882,3,0
1883,7,1
1884,53,1
1885,1,0
1886,0,0
1887,5,0
1888,0,1
1889,1,0
1890,18,1
1891,4,0
1892,0,0
1893,0,0
1894,0,1
1895,0,0
1896,16,1
1897,0,0
1898,0,0
1899,21,0
1900,6,0
1901,7,1
1902,6,0
1903,0,0
1904,10,0
1905,6,0
1906,2,0
1907,0,1
1908,0,1
1909,14,1
1910,1,1
1911,37,1
1912,0,0
1913,22,1
1914,0,1
1915,0,0
1916,2,1
1917,2,0
1918,0,0
1919,1,0
1920,1,1
1921,11,1
1922,4,0
1923,32,0
1924,0,1
1925,13,0
1926,2,1
1927,4,0
1928,13,1
1929,7,0
1930,5,0
1931,0,1
1932,2,0
1933,0,1
1934,0,0
1935,3,0
1936,3,0
1937,0,0
1938,1,0
1939,1,0
1940,1,0
1941,1,1
1942,1,1
1943,1,1
1944,3,0
1945,8,1
1946,1,0
1947,4,1
1948,45,1
1949,2,0
1950,2,0
1951,8,1
1952,1,1
1953,3,0
1954,0,0
1955,15,0
1956,26,1
1957,9,1
1958,26,0
1959,4,0
1960,0,0
1961,34,1
1962,4,0
1963,9,1
1964,5,0
1965,21,1
1966,4,0
1967,0,1
1968,1,0
1969,9,0
1970,0,0
1971,2,0
1972,6,1
1973,3,0
1974,11,1
1975,0,0
1976,1,0
1977,0,0
1978,3,0
1979,1,0
1980,1,0
1981,5,0
1982,0,0
1983,6,0
1984,2,0
1985,12,0
1986,5,1
1987,3,1
1988,7,0
1989,11,0
1990,4,0
1991,22,1
1992,1,1
1993,2,1
1994,0,0
1995,24,0
1996,18,0
1997,0,0
1998,6,1
1999,0,0
2000,1,0
2001,0,0
2002,41,1
2003,34,1
2004,0,0
2005,7,0
2006,3,0
2007,22,0
2008,6,0
2009,6,0
2010,0,0
2011,5,0
2012,1,0
2013,0,0
2014,20,0
2015,3,0
2016,0,0
2017,0,1
2018,2,1
2019,0,0
2020,8,1
2021,7,1
2022,23,0
2023,30,1
2024,14,0
2025,22,0
2026,2,0
2027,2,0
2028,5,1
2029,3,0
2030,19,0
2031,19,0
2032,6,0
2033,6,0
2034,1,0
2035,1,0
2036,1,0
2037,4,1
2038,0,0
2039,26,1
2040,8,0
2041,4,0
2042,0,0
2043,11,1
2044,3,1
2045,5,1
2046,5,1
2047,1,0
2048,0,0
2049,9,1
2050,10,0
2051,2,0
2052,3,0
2053,11,0
2054,2,0
2055,0,0
2056,0,0
2057,8,0
2058,26,1
2059,12,1
2060,5,0
2061,20,0
2062,18,0
2063,1,0
2064,9,1
2065,1,1
2066,3,0
2067,2,0
