Column1,I-Count,Label(m0/f1),SortKey
4449,0,0,0.18692483
64,73,1,0.187178743
1556,48,0,0.187243464
4336,4,1,0.187344666
4257,2,1,0.187524704
383,25,1,0.187755976
4567,2,1,0.187798494
3439,1,0,0.187980642
3064,4,1,0.188248129
2481,20,1,0.188406504
2465,8,1,0.188838344
457,1,0,0.18884295
1911,37,1,0.189124111
1187,0,0,0.18915692
2513,3,0,0.18942115
128,5,1,0.189531566
3787,0,0,0.18970154
576,12,1,0.189869952
4749,6,1,0.189890155
768,4,0,0.19036536
3796,0,1,0.190562036
3422,0,0,0.190622951
1385,1,0,0.190737085
5236,9,1,0.191338935
5262,6,1,0.19134271
3277,1,1,0.191553497
5263,1,0,0.191811414
4901,33,0,0.191829994
4246,39,1,0.19213359
4351,1,0,0.192247717
678,2,0,0.192271683
4559,0,0,0.192298436
5040,2,0,0.19246512
4664,0,0,0.192773026
902,3,0,0.193466056
284,5,0,0.193475528
2223,0,0,0.193697553
3868,1,0,0.19370387
126,5,0,0.193928685
2807,2,0,0.19404757
3884,5,0,0.194246207
4110,2,0,0.194284117
4464,1,0,0.194388853
2068,2,1,0.194569599
1154,5,1,0.195298613
2695,20,0,0.195468367
2132,5,0,0.195708802
4241,13,1,0.196053111
4100,0,1,0.196061684
2584,5,0,0.196283792
5139,5,0,0.19643085
4622,4,0,0.196459566
5158,4,0,0.196751229
3385,3,0,0.196836485
294,0,0,0.197087722
264,1,1,0.197108273
281,0,0,0.197278644
4405,12,1,0.197387985
5226,22,0,0.19739165
910,3,0,0.197838098
4792,3,0,0.197872681
2451,3,1,0.198002242
5287,1,0,0.198066855
2969,7,0,0.198316769
1179,1,0,0.198540985
3144,15,0,0.19858184
4083,0,0,0.198639238
4580,0,0,0.198819269
1842,3,0,0.19887236
786,0,0,0.199116407
1364,1,1,0.199222712
1634,12,0,0.199411743
4840,4,1,0.199635336
